"Temperature [ITS-90 deg C]","Conductivity [S/m]","Time [Elapsed seconds]","Pressure [Strain Gauge db]","Density [TEOS-10 kg/m^3]","Temperature [Potential, ITS-90 deg C]","Practical Salinity [PSU]",flag
15.82616076,0.000025800,0,0,2.463402422,15.82616076,-9.99e-29,0
15.47035076,0.000028790,1200,0,2.463402422,15.47035076,-9.99e-29,0
14.63993759,0.000029046,2400,0,2.463402422,14.63993759,-9.99e-29,0
13.10398686,0.000026637,3600,0,2.463402422,13.10398686,-9.99e-29,0
7.959598606,0.000028218,4800,0,2.463402422,7.959598606,-9.99e-29,0
-10.1034423,0.000022246,6000,0,2.463402422,-10.1034423,-9.99e-29,0
-11.7524533,0.000005467,7200,0,2.463402422,-11.7524533,-9.99e-29,0
-11.9340506,-0.00000311,8400,0,2.463402422,-11.9340506,-9.99e-29,0
-1.89462845,2.284075048,9600,0,1023.015571,-1.89462845,28.63569211,0
-1.82500781,2.792556702,10800,0,1028.691723,-1.82500781,35.62490268,0
-1.78956990,2.777494663,12000,0,1028.484113,-1.78956990,35.37069416,0
-1.77840742,2.740526448,13200,0,1028.051930,-1.77840742,34.83903232,0
-1.77374102,2.733086519,14400,0,1027.962721,-1.77374102,34.72936627,0
-1.76826859,2.728887321,15600,0,1027.909617,-1.76826859,34.66417834,0
-1.77068310,2.728881741,16800,0,1027.911920,-1.77068310,34.66692776,0
-1.76962075,2.729268466,18000,0,1027.915275,-1.76962075,34.67109560,0
-1.77380539,2.728343738,19200,0,1027.908865,-1.77380539,34.66305481,0
-1.77863267,2.727099734,20400,0,1027.899453,-1.77863267,34.65129554,0
-1.77541462,2.726472152,21600,0,1027.889167,-1.77541462,34.63874508,0
-1.77766731,2.724040924,22800,0,1027.863737,-1.77766731,34.60735586,0
-1.77872920,2.724220170,24000,0,1027.866814,-1.77872920,34.61110604,0
-1.77666973,2.724432997,25200,0,1027.867218,-1.77666973,34.61167613,0
-1.77538244,2.724248143,26400,0,1027.863857,-1.77538244,34.60758410,0
-1.77142348,2.724522566,27600,0,1027.863103,-1.77142348,34.60679535,0
-1.76665875,2.724981848,28800,0,1027.863661,-1.76665875,34.60765076,0
-1.74056010,2.727323491,30000,0,1027.864725,-1.74056010,34.60989341,0
-1.74291369,2.727217048,31200,0,1027.865819,-1.74291369,34.61115580,0
-1.76546738,2.725273132,32400,0,1027.865805,-1.76546738,34.61033294,0
-1.76102322,2.725631623,33600,0,1027.865530,-1.76102322,34.61015226,0
-1.75754445,2.725973333,34800,0,1027.866008,-1.75754445,34.61086514,0
-1.74159185,2.727256259,36000,0,1027.864971,-1.74159185,34.61015923,0
-1.74068907,2.727407545,37200,0,1027.865805,-1.74068907,34.61121915,0
-1.74526698,2.727009746,38400,0,1027.865767,-1.74526698,34.61100782,0
-1.73569079,2.727782946,39600,0,1027.865177,-1.73569079,34.61062586,0
-1.73178798,2.728068711,40800,0,1027.864603,-1.73178798,34.61005963,0
-1.73327179,2.727990269,42000,0,1027.865164,-1.73327179,34.61069703,0
-1.73307825,2.728018287,43200,0,1027.865293,-1.73307825,34.61086249,0
-1.73430393,2.727895011,44400,0,1027.865093,-1.73430393,34.61057168,0
-1.74056010,2.727413148,45600,0,1027.865743,-1.74056010,34.61114675,0
-1.74581496,2.726942513,46800,0,1027.865540,-1.74581496,34.61070824,0
-1.74004421,2.727474782,48000,0,1027.865938,-1.74004421,34.61140548,0
-1.74007645,2.727469179,49200,0,1027.865906,-1.74007645,34.61136483,0
-1.76169957,2.725581209,50400,0,1027.865618,-1.76169957,34.61023775,0
-1.76704513,2.725116295,51600,0,1027.865566,-1.76704513,34.60998337,0
-1.75686795,2.725990133,52800,0,1027.865537,-1.75686795,34.61030933,0
-1.77216384,2.724679415,54000,0,1027.865610,-1.77216384,34.60985556,0
-1.76804322,2.724976260,55200,0,1027.864951,-1.76804322,34.60919113,0
-1.75925171,2.725878108,56400,0,1027.866596,-1.75925171,34.61152901,0
-1.77087624,2.724931474,57600,0,1027.867214,-1.77087624,34.61187687,0
-1.77322604,2.724724237,58800,0,1027.867158,-1.77322604,34.61172474,0
-1.77383758,2.724679431,60000,0,1027.867248,-1.77383758,34.61181286,0
-1.77245353,2.724869871,61200,0,1027.868058,-1.77245353,34.61285924,0
-1.77287198,2.724864274,62400,0,1027.868403,-1.77287198,34.61327022,0
-1.77489968,2.724662637,63600,0,1027.868096,-1.77489968,34.61281983,0
-1.77377321,2.724757852,64800,0,1027.868076,-1.77377321,34.61283493,0
-1.77415944,2.724808271,66000,0,1027.869027,-1.77415944,34.61399209,0
-1.77592955,2.724690655,67200,0,1027.869422,-1.77592955,34.61441624,0
-1.77898662,2.724517041,68400,0,1027.870440,-1.77898662,34.61556183,0
-1.79204598,2.723486587,69600,0,1027.871505,-1.79204598,34.61641315,0
-1.79423237,2.723195383,70800,0,1027.870333,-1.79423237,34.61489372,0
-1.79889369,2.722741813,72000,0,1027.869736,-1.79889369,34.61399581,0
-1.79966511,2.722719421,73200,0,1027.870236,-1.79966511,34.61458474,0
-1.79715789,2.722904198,74400,0,1027.869884,-1.79715789,34.61423898,0
-1.79239968,2.723256970,75600,0,1027.869240,-1.79239968,34.61361209,0
-1.78628940,2.723788969,76800,0,1027.869310,-1.78628940,34.61391254,0
-1.78921615,2.723542565,78000,0,1027.869372,-1.78921615,34.61388655,0
-1.78336219,2.723951365,79200,0,1027.868291,-1.78336219,34.61276204,0
-1.78197885,2.724074574,80400,0,1027.868338,-1.78197885,34.61286867,0
-1.78255794,2.724012968,81600,0,1027.868205,-1.78255794,34.61268366,0
-1.78535660,2.723738552,82800,0,1027.867824,-1.78535660,34.61211580,0
-1.77673409,2.724746679,84000,0,1027.870846,-1.77673409,34.61614115,0
-1.77152005,2.724998701,85200,0,1027.868608,-1.77152005,34.61357031,0
-1.77300073,2.724780251,86400,0,1027.867574,-1.77300073,34.61224506,0
-1.76743149,2.725233938,87600,0,1027.867281,-1.76743149,34.61208096,0
-1.77209946,2.724841860,88800,0,1027.867393,-1.77209946,34.61205326,0
-1.78040236,2.724158574,90000,0,1027.867751,-1.78040236,34.61220064,0
-1.78593558,2.723760961,91200,0,1027.868645,-1.78593558,34.61310665,0
-1.79712574,2.722842597,92400,0,1027.869152,-1.79712574,34.61333878,0
-1.80191489,2.722450647,93600,0,1027.869381,-1.80191489,34.61345294,0
-1.80294327,2.722389060,94800,0,1027.869687,-1.80294327,34.61379360,0
-1.80056505,2.722613030,96000,0,1027.869907,-1.80056505,34.61414775,0
-1.80442148,2.722366675,97200,0,1027.870879,-1.80442148,34.61520965,0
-1.80972277,2.721913163,98400,0,1027.870907,-1.80972277,34.61506054,0
-1.81139317,2.721845987,99600,0,1027.871778,-1.81139317,34.61607425,0
-1.81219619,2.721773203,100800,0,1027.871736,-1.81219619,34.61599438,0
-1.80834136,2.722008339,102000,0,1027.870638,-1.80834136,34.61477728,0
-1.80940152,2.721896361,103200,0,1027.870402,-1.80940152,34.61444928,0
-1.80949789,2.721924359,104400,0,1027.870815,-1.80949789,34.61495424,0
-1.80747392,2.722041927,105600,0,1027.870172,-1.80747392,34.61423274,0
-1.80969064,2.721879566,106800,0,1027.870494,-1.80969064,34.61455233,0
-1.80448574,2.722355476,108000,0,1027.870814,-1.80448574,34.61512800,0
-1.80307182,2.722349863,109200,0,1027.869367,-1.80307182,34.61339504,0
-1.80785945,2.722047531,110400,0,1027.870613,-1.80785945,34.61476235,0
-1.80310395,2.722316265,111600,0,1027.869016,-1.80310395,34.61296209,0
-1.80541759,2.722265890,112800,0,1027.870707,-1.80541759,34.61496359,0
-1.81659615,2.721666862,114000,0,1027.874833,-1.81659615,34.61965412,0
-1.83075255,2.720709600,115200,0,1027.877795,-1.83075255,34.62281163,0
-1.83052792,2.720754385,116400,0,1027.878085,-1.83052792,34.62317639,0
-1.83242108,2.720648033,117600,0,1027.878728,-1.83242108,34.62390234,0
-1.82972568,2.720883144,118800,0,1027.878765,-1.82972568,34.62404184,0
-1.83437820,2.720530486,120000,0,1027.879305,-1.83437820,34.62454632,0
-1.83261359,2.720620043,121200,0,1027.878597,-1.83261359,34.62373541,0
-1.83620681,2.720390547,122400,0,1027.879502,-1.83620681,34.62472588,0
-1.83338362,2.720536075,123600,0,1027.878395,-1.83338362,34.62346001,0
-1.80438934,2.722853870,124800,0,1027.876390,-1.80438934,34.62199567,0
-1.78336219,2.724489077,126000,0,1027.874405,-1.78336219,34.62028848,0
-1.77425599,2.725015534,127200,0,1027.871477,-1.77425599,34.61700532,0
-1.78690052,2.723805777,128400,0,1027.870099,-1.78690052,34.61486264,0
-1.80046863,2.722708229,129600,0,1027.870895,-1.80046863,34.61536812,0
-1.80326463,2.722405862,130800,0,1027.870192,-1.80326463,34.61440492,0
-1.80615661,2.722120308,132000,0,1027.869774,-1.80615661,34.61378923,0
-1.80837349,2.721963544,133200,0,1027.870160,-1.80837349,34.61418741,0
-1.80596382,2.722148304,134400,0,1027.869904,-1.80596382,34.61395578,0
-1.79905440,2.722741815,135600,0,1027.869893,-1.79905440,34.61418386,0
-1.79166012,2.723436178,136800,0,1027.870554,-1.79166012,34.61525599,0
-1.78866943,2.723794593,138000,0,1027.871703,-1.78866943,34.61677526,0
-1.78123888,2.724399435,139200,0,1027.871307,-1.78123888,34.61655008,0
-1.78442376,2.724153013,140400,0,1027.871623,-1.78442376,34.61682621,0
-1.80307182,2.722669055,141600,0,1027.872998,-1.80307182,34.61786540,0
-1.79236752,2.723542597,142800,0,1027.872457,-1.79236752,34.61757350,0
-1.79738291,2.723285022,144000,0,1027.874436,-1.79738291,34.61983490,0
-1.78008061,2.725105221,145200,0,1027.878197,-1.78008061,34.62507356,0
-1.77518934,2.725362862,146400,0,1027.876338,-1.77518934,34.62295741,0
-1.78574259,2.724589927,147600,0,1027.877881,-1.78574259,34.62448501,0
-1.78394124,2.724914800,148800,0,1027.879812,-1.78394124,34.62692505,0
-1.79420022,2.724125106,150000,0,1027.880875,-1.79420022,34.62787399,0
-1.77921186,2.725189241,151200,0,1027.878302,-1.77921186,34.62523316,0
-1.78020931,2.725138834,152400,0,1027.878705,-1.78020931,34.62569458,0
-1.77798910,2.725194831,153600,0,1027.877168,-1.77798910,34.62388094,0
-1.78452026,2.724707546,154800,0,1027.878022,-1.78452026,34.62470137,0
-1.78461677,2.724673938,156000,0,1027.877734,-1.78461677,34.62434382,0
-1.79146718,2.724158685,157200,0,1027.878582,-1.79146718,34.62514590,0
-1.78722215,2.724573137,158400,0,1027.879139,-1.78722215,34.62598112,0
-1.77251791,2.725693363,159600,0,1027.877479,-1.77251791,34.62445748,0
-1.78284747,2.725004417,160800,0,1027.879760,-1.78284747,34.62689974,0
-1.78770459,2.724573142,162000,0,1027.879611,-1.78770459,34.62654568,0
-1.78165713,2.724914777,163200,0,1027.877575,-1.78165713,34.62425237,0
-1.78374822,2.724858781,164400,0,1027.878986,-1.78374822,34.62591507,0
-1.76723831,2.725984635,165600,0,1027.875622,-1.76723831,34.62235776,0
-1.78014496,2.724869948,166800,0,1027.875586,-1.78014496,34.62185591,0
-1.78226839,2.724528276,168000,0,1027.873780,-1.78226839,34.61955765,0
-1.78609641,2.724315464,169200,0,1027.875107,-1.78609641,34.62105688,0
-1.80085431,2.722893035,170400,0,1027.873375,-1.80085431,34.61840748,0
-1.79889369,2.722837014,171600,0,1027.870819,-1.79889369,34.61532896,0
-1.80512840,2.722377882,172800,0,1027.871698,-1.80512840,34.61619378,0
-1.80445361,2.722394674,174000,0,1027.871229,-1.80445361,34.61563940,0
-1.80792371,2.722288314,175200,0,1027.873415,-1.80792371,34.61821026,0
-1.79329997,2.723705027,176400,0,1027.875216,-1.79329997,34.62093865,0
-1.78837998,2.724281880,177600,0,1027.876960,-1.78837998,34.62325840,0
-1.77039337,2.725766172,178800,0,1027.876227,-1.77039337,34.62299125,0
-1.76813981,2.726012657,180000,0,1027.876823,-1.76813981,34.62380419,0
-1.78233274,2.724937191,181200,0,1027.878492,-1.78233274,34.62535651,0
-1.78490627,2.724780370,182400,0,1027.879228,-1.78490627,34.62617241,0
-1.77914750,2.725284473,183600,0,1027.879321,-1.77914750,34.62649074,0
-1.78098149,2.725161249,184800,0,1027.879716,-1.78098149,34.62691174,0
-1.78242925,2.724942793,186000,0,1027.878650,-1.78242925,34.62554785,0
-1.78082062,2.725228470,187200,0,1027.880323,-1.78082062,34.62766440,0
-1.78040236,2.725222864,188400,0,1027.879849,-1.78040236,34.62709657,0
-1.78162495,2.725189265,189600,0,1027.880664,-1.78162495,34.62805673,0
-1.78078845,2.725189257,190800,0,1027.879845,-1.78078845,34.62707789,0
-1.78059540,2.725155643,192000,0,1027.879274,-1.78059540,34.62638156,0
-1.78706133,2.724881221,193200,0,1027.882484,-1.78706133,34.63010591,0
-1.78072410,2.725178052,194400,0,1027.879655,-1.78072410,34.62684578,0
-1.78004843,2.725206055,195600,0,1027.879312,-1.78004843,34.62644722,0
-1.77959797,2.725211652,196800,0,1027.878935,-1.77959797,34.62599855,0
-1.78078845,2.725150043,198000,0,1027.879400,-1.78078845,34.62652904,0
-1.78384473,2.725088454,199200,0,1027.881691,-1.78384473,34.62924293,0
-1.78220405,2.725088437,200400,0,1027.880085,-1.78220405,34.62732299,0
-1.78809053,2.724707582,201600,0,1027.881518,-1.78809053,34.62887940,0
-1.79342858,2.724225919,202800,0,1027.881266,-1.79342858,34.62838253,0
-1.80027579,2.723699496,204000,0,1027.881983,-1.80027579,34.62902464,0
-1.80069361,2.723649093,205200,0,1027.881819,-1.80069361,34.62880780,0
-1.80088645,2.723598689,206400,0,1027.881434,-1.80088645,34.62832759,0
-1.80091859,2.723604290,207600,0,1027.881529,-1.80091859,34.62844365,0
-1.80146495,2.723537087,208800,0,1027.881300,-1.80146495,34.62814196,0
-1.79989010,2.723649085,210000,0,1027.881032,-1.79989010,34.62786722,0
-1.79706145,2.723878690,211200,0,1027.880874,-1.79706145,34.62777202,0
-1.79921512,2.723693884,212400,0,1027.880881,-1.79921512,34.62770462,0
-1.79931154,2.723593072,213600,0,1027.879828,-1.79931154,34.62640567,0
-1.79664354,2.723794673,214800,0,1027.879509,-1.79664354,34.62610643,0
-1.78278313,2.724954000,216000,0,1027.879124,-1.78278313,34.62611875,0
-1.78921615,2.724349103,217200,0,1027.878543,-1.78921615,34.62517787,0
-1.77702371,2.725301258,218400,0,1027.877433,-1.77702371,34.62424109,0
-1.78307266,2.724836368,219600,0,1027.878070,-1.78307266,34.62481094,0
-1.77905097,2.725161230,220800,0,1027.877826,-1.77905097,34.62465290,0
-1.77657318,2.725357274,222000,0,1027.877629,-1.77657318,34.62449798,0
-1.78008061,2.725054805,223200,0,1027.877624,-1.78008061,34.62436792,0
-1.78207536,2.724970798,224400,0,1027.878622,-1.78207536,34.62552581,0
-1.78725431,2.724578739,225600,0,1027.879234,-1.78725431,34.62609717,0
-1.78194668,2.724959594,226800,0,1027.878368,-1.78194668,34.62521842,0
-1.78558176,2.724752369,228000,0,1027.879571,-1.78558176,34.62657080,0
-1.78281530,2.724903585,229200,0,1027.878582,-1.78281530,34.62545071,0
-1.78265445,2.724920389,230400,0,1027.878615,-1.78265445,34.62549772,0
-1.78397341,2.724875588,231600,0,1027.879397,-1.78397341,34.62641380,0
-1.78468110,2.724785969,232800,0,1027.879071,-1.78468110,34.62598733,0
-1.78500277,2.724752363,234000,0,1027.879004,-1.78500277,34.62589327,0
-1.78445593,2.724802772,235200,0,1027.879042,-1.78445593,34.62595908,0
-1.78812269,2.724505929,236400,0,1027.879256,-1.78812269,34.62609396,0
-1.79156365,2.724237102,237600,0,1027.879568,-1.79156365,34.62635671,0
-1.80120784,2.723447475,238800,0,1027.880028,-1.80120784,34.62658600,0
-1.80429294,2.723206685,240000,0,1027.880310,-1.80429294,34.62682446,0
-1.79455388,2.724125109,241200,0,1027.881222,-1.79455388,34.62828793,0
-1.78992365,2.724511549,242400,0,1027.881083,-1.78992365,34.62828004,0
-1.79497183,2.724085906,243600,0,1027.881185,-1.79497183,34.62822812,0
-1.79773650,2.723873096,244800,0,1027.881471,-1.79773650,34.62848375,0
-1.79789723,2.723772282,246000,0,1027.880482,-1.79789723,34.62726009,0
-1.79767221,2.723749877,247200,0,1027.880007,-1.79767221,34.62668298,0
-1.79580771,2.723889880,248400,0,1027.879774,-1.79580771,34.62646144,0
-1.79317136,2.724097090,249600,0,1027.879549,-1.79317136,34.62627768,0
-1.79394301,2.723996279,250800,0,1027.879158,-1.79394301,34.62576914,0
-1.80255764,2.723341078,252000,0,1027.880140,-1.80255764,34.62667569,0
-1.80326463,2.723257078,253200,0,1027.879876,-1.80326463,34.62632669,0
-1.79915083,2.723609873,254400,0,1027.879862,-1.79915083,34.62645286,0
-1.79738291,2.723805882,255600,0,1027.880361,-1.79738291,34.62712867,0
-1.79452173,2.724035492,256800,0,1027.880171,-1.79452173,34.62699545,0
-1.78847646,2.724584353,258000,0,1027.880494,-1.78847646,34.62760583,0
-1.78677186,2.724629147,259200,0,1027.879335,-1.78677186,34.62623834,0
-1.76318102,2.726942687,260400,0,1027.882536,-1.76318102,34.63101554,0
-1.75403282,2.727973665,261600,0,1027.885292,-1.75403282,34.63473587,0
-1.76005696,2.727407739,262800,0,1027.884761,-1.76005696,34.63386677,0
-1.76707732,2.726931519,264000,0,1027.886224,-1.76707732,34.63541745,0
-1.76897688,2.726774649,265200,0,1027.886301,-1.76897688,34.63544503,0
-8.23782704,-0.00000425,266400,0,2.463402422,-8.23782704,-9.99e-29,0
-12.0960140,-0.00001459,267600,0,2.463402422,-12.0960140,-9.99e-29,0
8.091970355,0.000016654,268800,0,2.463402422,8.091970355,-9.99e-29,0
9.872595115,0.000030511,270000,0,2.463402422,9.872595115,-9.99e-29,0
10.46185693,0.000030330,271200,0,2.463402422,10.46185693,-9.99e-29,0
11.81700219,0.000029913,272400,0,2.463402422,11.81700219,-9.99e-29,0
14.29688695,0.000029151,273600,0,2.463402422,14.29688695,-9.99e-29,0
